Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AAPL,Apple Inc,Technology,Consumer Electronics,USA,2890000,28.5,182.63,0.54,55234100
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA,789000,65.2,238.45,-1.23,98432100
MSFT,Microsoft Corp,Technology,Software,USA,3120000,35.1,415.32,0.89,22341800
NVDA,Nvidia Corp,Technology,Semiconductors,USA,2100000,72.3,875.43,2.14,44123900
SPY,SPDR S&P 500 ETF,Financial,Exchange Traded Fund,USA,512000,22.1,524.61,0.32,67234500
AMD,Advanced Micro Devices,Technology,Semiconductors,USA,245000,45.2,178.32,1.45,43219800
META,Meta Platforms,Technology,Internet Content,USA,1230000,28.9,512.44,0.76,18234500
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,1870000,58.3,192.45,1.12,31234500
GOOGL,Alphabet Inc,Technology,Internet Content,USA,2100000,24.1,178.92,0.43,19234500
JPM,JPMorgan Chase,Financial,Banks,USA,567000,12.3,198.45,0.21,11234500
